id,code,description,total_emp,salary
339011,33-9011,Animal control workers,14890,30860
339021,33-9021,Private detectives and investigators,37410,42660
339031,33-9031,Gaming surveillance officers and gaming investigators,9030,30350
339032,33-9032,Security guards,1032260,24840
339091,33-9091,Crossing guards,67570,23460
339092,33-9092,"Lifeguards, ski patrol, and other recreational protective service workers",107420,19430
339099,33-9099,"Protective service workers, all other",81410,31760
350000,35-0000,Food preparation and serving related occupations,11273850,19440
351011,35-1011,Chefs and head cooks,100130,40700
351012,35-1012,First-line supervisors/managers of food preparation and serving workers,788750,29930
352011,35-2011,"Cooks, fast food",575510,16860
352012,35-2012,"Cooks, institution and cafeteria",372450,22340
352013,35-2013,"Cooks, private household",950,28260
352014,35-2014,"Cooks, restaurant",878990,21960
352015,35-2015,"Cooks, short order",177450,19580
352019,35-2019,"Cooks, all other",15440,24170
352021,35-2021,Food preparation workers,873470,19350
353011,35-3011,Bartenders,498090,19740
353021,35-3021,"Combined food preparation and serving workers, including fast food",2602950,16700
353022,35-3022,"Counter attendants, cafeteria, food concession, and coffee shop",541370,17820
353031,35-3031,Waiters and waitresses,2357040,18570
353041,35-3041,"Food servers, nonrestaurant",185530,20660
359011,35-9011,Dining room and cafeteria attendants and bartender helpers,401070,17380
359021,35-9021,Dishwashers,509550,17060
359031,35-9031,"Hosts and hostesses, restaurant, lounge, and coffee shop",342960,17770
359099,35-9099,"Food preparation and serving related workers, all other",52160,20450
370000,37-0000,Building and grounds cleaning and maintenance occupations,4403900,23560
371011,37-1011,First-line supervisors/managers of housekeeping and janitorial workers,179850,35220
371012,37-1012,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers",110340,41730
372011,37-2011,"Janitors and cleaners, except maids and housekeeping cleaners",2112870,22710
372012,37-2012,Maids and housekeeping cleaners,915890,19550
372019,37-2019,"Building cleaning workers, all other",14320,30060
372021,37-2021,Pest control workers,63440,30280
373011,37-3011,Landscaping and groundskeeping workers,932730,23980
